192.168.0.1: average is 60, loss is + (0%
174.109.176.1: average is 62, loss is + (0%
174.111.105.50: average is 49, loss is + (1%
24.25.41.108: average is 92, loss is + (0%
24.93.64.186: average is 60, loss is + (1%
66.109.6.34: average is 123, loss is + (1%
66.109.5.125: average is 73, loss is + (0%
4.68.37.73: average is 139, loss is + (5%
4.69.143.198: average is 182, loss is + (0%
212.187.216.238: average is 222, loss is + (0%
146.97.35.193: average is 194, loss is + (0%
146.97.33.62: average is 236, loss is + (1%
146.97.33.29: average is 158, loss is + (0%
146.97.35.246: average is 203, loss is + (0%
146.97.41.38: average is 146, loss is + (0%
193.60.88.6: average is 189, loss is + (0%
193.60.88.6: average is 194, loss is + (0%
128.232.128.6: average is 165, loss is + (0%
128.232.128.10: average is 210, loss is + (3%
128.232.132.8: average is 157, loss is + (1%
