192.168.0.1: average is 14, loss is + (0%
174.109.176.1: average is 38, loss is + (0%
174.111.105.50: average is 21, loss is + (0%
24.25.41.108: average is 29, loss is + (0%
24.93.64.186: average is 33, loss is + (0%
Error at 66.109.6.34
66.109.5.125: average is 88, loss is + (0%
Error at 4.68.37.73
4.69.143.198: average is 233, loss is + (3%
212.187.216.238: average is 159, loss is + (0%
146.97.35.193: average is 168, loss is + (0%
146.97.33.62: average is 157, loss is + (0%
146.97.33.29: average is 162, loss is + (0%
146.97.35.246: average is 159, loss is + (1%
146.97.41.38: average is 170, loss is + (0%
193.60.88.6: average is 153, loss is + (0%
193.60.88.6: average is 169, loss is + (1%
128.232.128.6: average is 162, loss is + (0%
128.232.128.10: average is 170, loss is + (3%
128.232.132.8: average is 169, loss is + (0%
