192.168.0.1: average is 20, loss is + (0%
174.109.176.1: average is 26, loss is + (0%
174.111.105.50: average is 52, loss is + (0%
24.25.41.108: average is 23, loss is + (0%
24.93.64.186: average is 54, loss is + (0%
66.109.6.34: average is 53, loss is + (0%
66.109.5.125: average is 67, loss is + (0%
4.68.37.73: average is 40, loss is + (0%
4.69.143.198: average is 134, loss is + (3%
212.187.216.238: average is 119, loss is + (1%
146.97.35.193: average is 143, loss is + (0%
146.97.33.62: average is 119, loss is + (0%
146.97.33.29: average is 154, loss is + (0%
146.97.35.246: average is 140, loss is + (0%
146.97.41.38: average is 145, loss is + (0%
193.60.88.6: average is 127, loss is + (0%
193.60.88.6: average is 122, loss is + (0%
128.232.128.6: average is 137, loss is + (0%
128.232.128.10: average is 130, loss is + (0%
128.232.132.8: average is 151, loss is + (0%
