192.168.0.1: average is 16, loss is + (0%
174.109.176.1: average is 50, loss is + (0%
174.111.105.50: average is 39, loss is + (0%
24.25.41.108: average is 36, loss is + (0%
24.93.64.186: average is 44, loss is + (0%
66.109.6.34: average is 49, loss is + (0%
66.109.5.125: average is 64, loss is + (0%
4.68.37.73: average is 37, loss is + (0%
4.69.143.198: average is 153, loss is + (0%
212.187.216.238: average is 119, loss is + (0%
146.97.35.193: average is 134, loss is + (0%
146.97.33.62: average is 120, loss is + (5%
146.97.33.29: average is 169, loss is + (0%
146.97.35.246: average is 132, loss is + (0%
146.97.41.38: average is 190, loss is + (1%
193.60.88.6: average is 120, loss is + (1%
193.60.88.6: average is 148, loss is + (3%
128.232.128.6: average is 133, loss is + (0%
128.232.128.10: average is 150, loss is + (1%
128.232.132.8: average is 135, loss is + (0%
